accX,accY,accZ
-1.098,-14.431,-0.941
-1.412,-14.431,-1.098
-1.412,-14.902,-2.98
-1.569,-14.431,-4.078
-1.569,-14.275,-6.275
-1.412,-13.961,-7.686
-1.725,-13.804,-8
-1.569,-13.02,-8
-1.882,-12.863,-8.157
-1.569,-11.765,-8
-1.255,-11.137,-8.157
-0.941,-9.882,-7.843
-0.314,-8.471,-7.529
0.157,-8.314,-6.902
0.941,-7.686,-5.804
1.255,-7.529,-5.804
1.882,-7.529,-4.706
2.824,-7.686,-3.922
3.451,-7.843,-3.765
4.078,-8.157,-2.98
4.549,-8.157,-2.51
4.078,-8.627,-2.039
3.922,-8.941,-1.725
2.824,-9.725,-0.627
2.667,-10.039,-0.314
2.667,-10.039,-0.157
2.51,-9.098,-0.941
2.353,-8.941,-1.255
1.882,-8.157,-1.725
1.569,-6.902,-2.51
1.412,-6.588,-2.667
0.627,-5.961,-2.667
0.471,-5.647,-2.98
0.314,-5.49,-2.824
-0.157,-4.863,-2.667
-0.157,-4.549,-2.353
-0.471,-3.765,-2.51
-0.784,-3.922,-2.353
-0.941,-3.451,-1.882
-0.784,-3.451,-1.725
-0.784,-3.608,-1.255
-1.098,-3.765,-0.784
-1.255,-4.235,-0.314
-0.941,-4.863,-0.314
-0.941,-5.333,-0.314
-0.627,-6.118,-0.314
-0.157,-7.216,-0.627
0.157,-7.686,-0.784
0.941,-8.627,-0.941
1.412,-9.098,-1.412
2.196,-9.882,-2.353
2.51,-10.039,-2.51
3.451,-10.039,-2.824
3.922,-10.039,-2.51
3.922,-10.196,-1.882
4.706,-10.98,-1.098
4.549,-12.235,-0.627
4.392,-14.745,0.314
3.294,-16,0.471
2.51,-16,0
2.039,-13.804,-2.667
1.882,-12.706,-4.392
1.725,-11.294,-9.569
1.725,-10.98,-10.667
2.51,-11.294,-10.353
3.922,-12.235,-9.569
5.02,-12.549,-8.784
7.059,-13.333,-8.314
8.314,-14.118,-8.314
9.569,-16.471,-6.745
7.373,-16.627,-4.549
5.647,-15.373,-4.549
2.667,-12.863,-7.216
1.569,-11.922,-8.314
0.471,-10.353,-9.255
-0.941,-8.941,-8.941
-1.725,-8.157,-9.098
-2.51,-7.216,-8.314
-2.98,-7.059,-7.843
-3.137,-7.686,-6.588
-3.608,-8.157,-6.275
-3.294,-8.627,-5.02
-2.039,-9.255,-2.51
-1.412,-9.255,-1.412
0.314,-9.882,-0.157
1.098,-9.882,0.471
1.412,-9.098,0.314
1.725,-8.627,-0.157
1.882,-8.314,-0.471
1.725,-6.902,-1.098
1.882,-6.588,-2.039
1.725,-5.49,-2.353
1.725,-4.863,-2.51
1.412,-4.392,-2.98
1.098,-3.765,-3.137
1.098,-3.451,-3.137
1.098,-3.137,-2.98
0.941,-2.98,-3.137
0.471,-2.98,-2.824
0.157,-3.451,-2.353
0,-3.765,-1.882
-0.157,-4.235,-1.412
-0.157,-4.549,-1.098
0,-5.02,-0.627
0,-5.647,-0.471
0,-5.804,-0.627
0,-6.275,-0.627
0.314,-6.745,-0.784
0.314,-7.373,-0.784
0.471,-7.843,-1.569
0.471,-8.784,-1.725
0.627,-9.098,-2.824
0.157,-9.255,-3.294
0.157,-9.569,-3.294
0,-9.725,-3.137
-0.157,-9.882,-2.039
-0.314,-10.353,-0.627
-0.157,-11.294,0
-0.314,-13.49,1.098
-0.471,-14.745,0.941
-0.157,-16.157,0.941
0.157,-16,0.157
0,-15.686,-0.941
-0.471,-14.902,-4.392
-0.784,-14.118,-6.588
-1.725,-12.706,-9.255
-2.353,-12.706,-10.196
-3.294,-13.49,-10.667
-4.235,-14.588,-10.039
-4.706,-15.059,-10.196
-5.176,-16,-8.941
-5.02,-15.843,-8
-3.451,-15.216,-6.745
-1.255,-13.647,-6.745
-0.157,-12.706,-6.431
1.882,-10.667,-6.431
2.667,-9.882,-6.902
3.137,-8.627,-6.588
4.078,-7.373,-6.902
4.706,-6.745,-7.059
5.02,-6.745,-7.216
5.333,-7.216,-6.745
5.647,-8.157,-5.647
5.647,-8.627,-4.706
4.549,-9.569,-2.667
3.765,-10.039,-1.098
3.608,-10.353,-0.471
3.137,-10.196,-0.471
2.824,-9.882,-0.627
2.196,-8.784,-1.412
1.569,-7.686,-2.196
1.255,-7.216,-2.353
1.098,-5.961,-2.51
0.941,-5.647,-2.51
0.627,-5.333,-2.196
0.471,-5.333,-2.196
0.471,-5.02,-2.039
0.314,-4.706,-2.039
0,-4.392,-1.725
-0.314,-4.392,-1.569
-0.157,-4.392,-1.412
-0.157,-4.078,-1.412
-0.157,-4.235,-1.255
-0.157,-4.235,-1.098
0,-4.392,-0.784
-0.157,-4.706,-0.471
-0.157,-5.02,-0.471
0.157,-5.176,-0.627
0.157,-5.176,-0.627
0.627,-5.804,-1.255
0.784,-5.961,-1.882
1.255,-7.373,-2.824
1.569,-7.843,-3.137
1.569,-8.471,-2.98
1.569,-8.627,-1.882
1.725,-8.627,-1.098
2.196,-9.098,-0.471
2.667,-9.882,-0.627
3.294,-10.824,-0.784
3.922,-13.647,0.471
4.235,-14.902,1.098
3.922,-17.725,2.196
3.608,-18.353,1.725
3.294,-16.941,-1.882
3.922,-15.529,-4.392
3.765,-13.647,-9.412
3.922,-13.333,-11.294
4.235,-13.49,-11.137
5.176,-13.647,-10.667
5.647,-14.118,-10.353
7.216,-14.902,-9.725
8.471,-15.529,-8
8.314,-15.373,-7.059
5.804,-13.961,-5.804
4.392,-13.176,-5.961
2.039,-11.451,-5.176
0.157,-9.725,-5.02
-0.784,-8.471,-5.333
-2.98,-6.745,-5.804
-3.608,-6.275,-6.118
-3.922,-5.647,-6.745
-4.235,-6.431,-6.588
-4.549,-7.529,-6.118
-4.078,-8.784,-4.392
-3.294,-9.569,-3.451
-1.569,-10.039,-1.098
-0.627,-10.353,-0.157
0.627,-10.824,0.157
1.725,-10.824,0
2.353,-10.196,-0.314
2.824,-9.882,-0.627
2.824,-9.569,-0.784
2.98,-8.314,-1.255
2.98,-7.059,-1.412
2.667,-6.588,-1.725
2.667,-5.49,-1.725
2.824,-5.02,-1.725
2.667,-3.765,-2.51
2.824,-3.451,-2.667
2.039,-3.137,-2.98
1.412,-3.137,-2.667
0.941,-3.294,-2.51
0.471,-3.451,-2.196
0.314,-3.451,-1.882
0,-3.765,-1.255
0.157,-3.922,-0.784
0,-4.235,-0.941
0.471,-4.549,-0.627
0.471,-5.176,-0.627
0.784,-5.647,-0.627
0.784,-6.118,-0.941
1.098,-7.529,-1.098
1.098,-9.098,-1.412
0.784,-9.412,-1.725
0.314,-10.039,-1.882
0.314,-10.196,-2.196
-0.314,-10.51,-1.725
-0.784,-10.667,-0.627
-0.941,-11.137,-0.157
-0.784,-13.176,1.569
-0.627,-14.588,2.353
-0.314,-16.157,2.353
-0.157,-15.843,-0.627
-0.941,-14.745,-2.98
-1.725,-13.647,-9.412
-2.353,-13.961,-10.98
-2.98,-14.745,-11.765
-3.137,-14.902,-11.608
-3.922,-14.745,-12.235
-5.961,-15.529,-11.137
-5.49,-16,-9.882
-3.451,-14.745,-7.843
-2.667,-13.49,-8.314
-0.627,-12.392,-8.941
2.196,-11.451,-6.902
3.451,-10.98,-6.275
5.647,-10.196,-5.647
6.431,-9.882,-5.49
6.745,-9.255,-5.647
6.118,-8.941,-6.431
5.333,-9.255,-6.275
4.706,-10.667,-4.706
3.922,-11.294,-3.765
3.608,-12.392,-2.196
3.608,-12.392,-1.569
2.667,-11.608,-0.784
1.569,-10.353,-0.784
1.255,-9.412,-1.412
0,-7.373,-2.51
-0.314,-6.745,-2.667
-0.784,-6.118,-2.98
-0.784,-5.49,-2.667
-0.471,-5.333,-2.196
-0.314,-5.333,-1.725
-0.471,-5.333,-1.882
-0.157,-4.863,-1.098
0.314,-4.549,-0.941
0.941,-3.922,-0.471
0.627,-3.294,-0.627
0.627,-3.137,-0.627
0.784,-3.137,-0.784
0.627,-2.824,-0.784
0.627,-3.137,-0.627
0.314,-3.294,-0.627
0.314,-3.608,-0.627
0.471,-3.765,-0.627
0.627,-3.765,-0.784
0.627,-3.922,-1.412
0.314,-4.706,-1.882
0.314,-5.961,-2.196
0.157,-7.216,-1.725
0.157,-8,-1.255
0,-8.627,-0.157
0.314,-9.255,0
