accX,accY,accZ
-5.647,-0.941,-5.49
-4.549,-0.627,-4.706
-5.02,-0.314,-4.549
-5.804,-0.471,-4.078
-6.902,-1.098,-3.451
-7.373,-2.039,-3.294
-7.059,-3.294,-3.137
-6.902,-3.922,-3.137
-5.647,-4.863,-3.451
-4.863,-5.333,-3.451
-4.078,-5.804,-3.765
-3.765,-6.275,-3.608
-2.98,-7.059,-3.608
-2.667,-7.843,-3.765
-1.725,-9.725,-3.765
-1.569,-11.451,-3.294
-1.412,-12.392,-3.294
-0.471,-14.118,-3.608
-0.471,-15.216,-4.078
0.157,-17.725,-3.137
1.255,-18.824,-3.137
3.137,-20.392,-2.353
5.02,-20.706,-1.882
8.157,-22.745,-1.882
9.098,-25.412,-0.627
10.353,-24.627,-0.314
12.706,-23.686,0
14.745,-22.275,0.314
17.569,-22.588,1.725
18.98,-22.902,2.039
20.863,-21.804,3.922
21.647,-20.549,4.863
21.647,-19.922,7.529
21.333,-19.765,9.569
17.412,-20.235,15.529
13.176,-19.137,18.039
12.078,-19.922,16.314
9.882,-19.608,15.843
10.98,-18.824,19.294
18.353,-14.745,9.098
12.706,-6.745,-11.922
-13.333,4.706,-55.529
-15.843,-16.784,-7.373
-2.353,-38.902,25.725
4.706,-14.588,-6.588
1.412,-7.216,-6.431
2.98,-9.882,-3.765
1.882,-9.569,-2.51
-1.569,-6.588,-4.078
-1.882,-4.549,-4.235
0.941,-1.725,-3.137
2.353,-4.863,-2.196
5.176,-8.784,-2.196
9.882,-12.392,-1.412
6.431,-16.471,-1.255
-0.157,-10.667,-2.824
2.51,-10.196,-0.941
0.314,-10.039,2.51
-1.725,-8.941,2.039
-2.667,-8.471,-1.255
-2.51,-8.627,-2.039
2.039,-8.941,-3.608
2.98,-9.098,-3.137
3.137,-8.314,-2.667
2.51,-8.314,-2.667
2.039,-8.627,-2.353
1.412,-8.941,-2.039
1.255,-8.941,-2.039
1.098,-9.098,-1.725
0.941,-9.569,-1.725
1.255,-9.255,-2.039
1.882,-9.412,-2.039
2.353,-9.098,-2.039
1.725,-9.569,-2.353
1.255,-9.412,-2.353
1.098,-9.255,-2.353
1.412,-9.412,-2.51
1.569,-9.098,-2.353
1.569,-9.569,-2.353
1.569,-9.255,-2.196
1.882,-9.255,-2.824
1.882,-9.569,-2.353
1.725,-9.882,-2.353
1.725,-9.725,-2.196
