accX,accY,accZ
-26.039,-23.373,-3.765
-29.02,-19.294,-1.098
-30.588,-17.569,0.471
-32.941,-13.804,5.176
-34.196,-11.765,5.647
-36.706,-6.902,2.98
-38.118,-4.706,2.039
-38.902,-0.627,2.824
-36.078,-0.784,3.294
-34.196,-2.824,3.765
-30.902,-5.961,4.863
-29.804,-6.745,5.176
-26.667,-7.529,5.961
-24.314,-8,7.059
23.216,-23.529,-12.078
57.098,-26.51,-47.529
56,-54.431,52.863
-71.686,-0.314,-0.314
-59.294,-10.98,10.98
-10.196,-24.941,6.118
-3.137,-13.176,-3.294
-14.275,2.824,-5.961
-20.235,-4.706,-8.157
-6.902,-9.725,2.824
-6.275,-9.882,-2.51
-7.059,-9.882,-2.51
-5.961,-6.745,0
-6.275,-7.216,0.471
-3.294,-9.882,-3.451
-2.196,-9.725,-2.98
-2.51,-8.784,-0.314
-2.98,-8.941,-1.255
-3.765,-9.569,-2.039
-3.922,-9.725,-1.569
-4.078,-9.569,-1.412
-4.549,-8.627,-3.922
-5.02,-8.314,-5.647
-4.078,-8.157,-3.765
-2.824,-8.627,-3.137
-1.725,-9.255,-2.98
-2.196,-9.725,-2.353
-2.824,-9.569,-2.196
-3.137,-9.412,-2.353
-3.294,-9.255,-2.039
-2.98,-9.098,-2.039
-3.294,-8.941,-2.353
-2.667,-9.098,-2.353
-2.824,-9.412,-2.51
-2.667,-9.725,-1.882
-2.353,-9.255,-2.196
-2.196,-9.098,-2.196
-2.353,-8.627,-2.353
-2.667,-8.471,-2.51
-2.98,-8.471,-2.51
-2.824,-8.314,-3.137
-2.824,-8.314,-3.608
-2.98,-8.627,-3.294
-3.451,-9.098,-2.824
-4.235,-9.412,-2.196
-4.392,-9.412,-2.196
-4.863,-9.725,-2.196
-5.02,-10.039,-2.039
-5.176,-11.137,-2.353
-5.333,-11.137,-2.196
-5.333,-11.294,-2.51
-4.549,-11.294,-1.569
-4.706,-11.765,-1.569
-4.549,-13.176,-2.51
-4.706,-13.49,-2.51
-4.392,-14.275,-2.039
-4.706,-14.275,-1.882
-3.922,-15.529,-2.039
-3.922,-16,-2.51
-3.765,-17.255,-3.294
-3.451,-18.039,-4.392
-3.451,-18.98,-5.333
-3.137,-20.549,-6.431
-2.51,-22.902,-6.275
-1.569,-28.863,-6.588
-2.196,-32,-5.647
-1.098,-37.333,-6.588
-2.51,-35.137,-5.333
-1.569,-27.922,-4.549
-4.706,-20.549,-1.569
