accX,accY,accZ
8,0.941,3.451
7.843,1.255,3.451
7.529,1.412,3.137
7.373,1.569,3.137
7.059,1.725,3.137
6.902,2.196,3.137
6.588,2.196,3.137
6.431,2.039,3.137
6.431,2.196,3.137
6.431,2.353,3.294
5.961,2.196,3.294
6.275,2.196,3.294
6.275,2.353,3.294
5.961,2.353,3.294
6.118,2.51,3.294
6.118,2.51,3.294
6.275,2.51,2.98
6.275,2.353,3.294
6.588,2.353,3.608
6.431,2.039,3.451
6.588,2.039,3.294
6.745,1.569,3.294
6.902,1.412,3.765
6.431,1.412,3.294
6.275,1.412,3.451
5.647,1.098,3.294
4.863,0.941,3.137
4.706,1.098,2.98
4.235,0.784,2.824
3.608,0.314,2.824
2.98,-0.157,3.137
2.824,-0.314,2.51
2.824,-1.412,2.353
3.608,-2.824,2.196
3.922,-3.608,2.196
3.922,-4.706,1.725
4.078,-5.333,1.725
4.078,-6.431,1.255
4.078,-7.059,1.569
3.608,-8,1.098
3.137,-8.941,0.471
2.98,-9.569,0.314
3.922,-11.137,-0.157
4.706,-11.765,-0.471
5.804,-14.745,-0.784
5.961,-15.373,-1.098
7.373,-17.255,-1.255
8.157,-18.667,-1.412
7.843,-18.667,-1.412
7.059,-18.667,-1.569
5.647,-18.824,-1.412
4.706,-18.353,-1.725
4.863,-18.353,-2.196
4.078,-18.98,-1.725
3.137,-19.922,-1.882
3.608,-19.922,-1.882
3.451,-20.549,-1.569
3.294,-20.706,-1.725
3.922,-21.176,-1.882
4.235,-21.176,-1.882
4.549,-20.863,-2.196
5.176,-20.078,-2.353
5.647,-19.922,-2.667
5.804,-18.51,-2.667
5.804,-17.412,-2.824
5.49,-15.843,-2.51
5.333,-14.118,-2.353
5.333,-12.863,-2.353
5.49,-11.137,-1.882
5.176,-10.667,-1.725
4.863,-9.725,-1.412
4.549,-9.255,-1.098
4.235,-8.784,-0.941
3.922,-8,-0.784
3.765,-7.843,-0.627
3.608,-7.686,-0.784
3.922,-7.373,-0.627
4.078,-7.216,-0.784
4.078,-7.059,-0.627
4.078,-6.902,-0.471
4.235,-7.059,-0.627
4.235,-7.059,-0.314
4.078,-7.216,-0.314
4.078,-7.373,-0.471
3.922,-7.686,-0.471
4.235,-7.843,-0.471
4.392,-7.843,-0.627
4.078,-8.157,-0.784
4.078,-8.157,-0.784
4.078,-8.471,-0.941
4.235,-8.627,-0.941
4.863,-9.098,-0.784
4.706,-9.255,-0.784
5.02,-9.725,-0.784
5.176,-9.725,-0.314
5.333,-10.039,-0.471
5.333,-9.882,-0.314
5.333,-10.039,0
5.49,-10.039,0
5.333,-10.039,-0.157
5.333,-10.039,0.157
5.49,-9.882,0.157
5.333,-10.039,-0.157
5.02,-9.882,-0.157
4.706,-9.412,-0.314
4.706,-9.882,-0.627
4.863,-10.196,-0.627
5.49,-12.078,0
6.588,-15.059,0.314
6.745,-16.627,0.941
7.843,-17.569,1.725
7.529,-17.255,2.039
6.902,-15.843,2.196
6.431,-14.902,1.725
5.647,-14.275,0.784
4.863,-14.588,0.471
4.706,-15.059,0.314
4.549,-15.686,0.157
4.863,-15.843,0
4.549,-16.157,0.314
4.078,-15.529,0.314
3.294,-15.529,0.471
3.294,-15.216,0.157
3.451,-14.745,0.157
3.451,-14.275,0.314
3.765,-13.961,0.314
3.137,-13.647,0.314
2.824,-13.176,0.471
2.824,-12.863,0.471
2.353,-12.549,0.627
2.51,-12.078,0.627
2.51,-11.765,0.627
2.667,-11.451,0.784
3.137,-11.137,0.471
2.98,-10.98,0.627
2.667,-10.824,0.157
2.51,-11.137,0.314
2.353,-11.294,0.314
1.882,-11.137,0.314
1.725,-10.824,0.157
2.039,-10.667,-0.314
1.725,-10.353,-0.157
1.882,-10.353,-0.314
0.941,-10.353,-0.471
0.784,-9.882,-0.627
0.941,-9.882,-0.471
0.941,-9.725,-0.627
1.255,-9.569,-0.471
1.725,-9.412,-0.471
1.255,-9.255,-0.784
1.098,-9.098,-0.784
0.784,-9.725,-0.784
0.471,-9.569,-0.784
0.157,-9.255,-0.627
0.314,-9.882,-0.627
0.314,-10.039,-0.784
0.314,-10.353,-0.784
0.471,-10.196,-0.784
0.784,-10.353,-0.627
0.784,-10.353,-1.098
0.784,-9.882,-0.941
0.941,-9.882,-1.255
0.784,-9.725,-1.412
0.471,-9.569,-1.569
0.157,-9.412,-1.725
0.314,-9.255,-1.882
0,-8.627,-2.196
0,-8.627,-2.039
-0.157,-8.784,-2.039
-0.157,-10.039,-2.039
-0.157,-10.51,-2.51
-0.157,-11.608,-2.51
0,-11.922,-2.824
0.157,-13.02,-2.51
0.471,-12.863,-2.196
2.039,-13.647,-1.725
3.451,-13.49,-1.569
3.922,-13.49,-1.412
3.922,-13.961,-0.941
3.451,-14.118,-0.784
3.451,-13.804,-0.471
3.451,-13.961,-0.157
2.98,-14.118,0.314
2.824,-14.431,0.627
2.667,-14.902,0.941
2.667,-14.902,1.098
2.667,-15.373,0.627
2.824,-14.745,0.941
2.98,-13.333,0.314
2.353,-12.863,0.627
2.196,-11.765,0
2.196,-10.98,0
1.725,-10.039,-0.157
1.725,-9.569,0
2.039,-8.627,-0.157
1.569,-8,0
1.569,-7.686,0
1.725,-7.059,0.157
1.412,-7.059,0.157
2.196,-7.216,0.314
2.51,-7.216,0.627
2.824,-7.216,0.471
2.667,-7.059,0.471
2.667,-7.373,0.157
2.667,-7.843,0.471
2.824,-7.843,0.314
2.824,-8.471,0.471
3.294,-8.784,0.471
3.765,-9.255,0.314
3.922,-9.725,0.471
4.078,-9.882,0.471
4.706,-10.353,0.471
5.02,-10.51,0.471
5.647,-10.98,0.627
5.647,-11.294,0.471
6.118,-11.922,0.471
5.961,-12.078,0.471
5.804,-12.235,0.627
6.118,-11.922,0.784
5.804,-11.922,0.471
5.961,-11.922,0.784
5.961,-11.922,0.784
5.961,-12.235,1.098
6.118,-12.392,0.941
6.118,-12.235,1.098
6.275,-12.078,0.784
6.118,-12.235,1.098
5.961,-11.451,0.784
5.961,-10.824,0.627
5.333,-9.725,0
5.49,-9.412,0
5.804,-10.039,-0.157
6.275,-12.392,0.627
6.588,-13.961,0.627
6.745,-16,1.098
6.431,-16.627,1.255
5.804,-16,1.725
5.333,-14.588,1.569
5.333,-14.118,1.255
5.961,-13.804,0.627
6.275,-14.118,0.314
6.745,-15.216,-0.314
6.902,-15.373,-0.471
6.588,-15.843,-0.471
6.275,-16.314,-0.471
5.647,-16.471,-0.314
5.49,-16.627,-0.471
5.176,-16.627,-0.627
4.706,-16.471,-0.784
4.549,-16.314,-0.471
3.451,-15.059,-0.314
3.294,-13.804,-0.157
3.294,-13.02,-0.314
2.98,-12.235,-0.314
2.667,-11.765,-0.157
2.039,-10.98,-0.314
2.196,-10.353,-0.471
2.353,-9.882,-0.157
2.353,-9.882,-0.157
2.039,-10.196,-0.157
2.039,-10.353,-0.314
2.039,-10.353,-0.314
2.353,-10.51,-0.471
2.51,-10.353,-0.471
2.039,-10.667,-0.784
1.412,-10.353,-0.941
1.725,-10.51,-0.941
1.412,-10.667,-1.098
0.941,-10.353,-0.627
0.941,-10.196,-1.412
1.098,-9.725,-1.098
1.412,-9.882,-1.098
0.941,-9.725,-0.784
1.098,-9.412,-0.627
1.098,-9.255,-0.784
0.784,-9.098,-0.627
0.627,-8.627,-0.627
0.784,-8.627,-0.941
0.471,-8.784,-0.784
0.627,-8.314,-0.941
0.784,-8.471,-0.941
0.784,-8.314,-0.784
0.627,-8.471,-0.941
0.784,-8.471,-1.098
0.941,-8.627,-0.784
0.784,-8.627,-0.941
0.784,-8.471,-1.098
0.784,-8.471,-0.941
0.784,-8.784,-1.255
0.784,-8.471,-1.412
0.627,-8.941,-1.725
0.314,-8.941,-1.882
0.157,-8.784,-2.196
0,-8.471,-2.039
-0.157,-8.941,-2.039
0,-10.353,-1.882
-0.157,-11.137,-2.51
-0.157,-12.863,-3.451
-0.314,-13.804,-3.294
0.157,-14.431,-2.98
1.412,-14.745,-2.51
1.569,-14.745,-2.039
2.667,-14.431,-1.255
3.294,-14.431,-1.098
3.922,-14.588,-0.471
4.078,-14.275,0
3.922,-14.275,0.471
3.451,-13.49,0.941
2.98,-13.176,1.098
2.667,-13.49,1.569
2.353,-13.333,1.882
2.039,-13.49,1.412
1.882,-13.647,1.255
1.725,-13.49,1.098
2.039,-12.863,0.941
2.667,-12.392,0.471
2.98,-11.765,0.471
3.137,-10.824,0.471
2.98,-9.882,0
2.98,-8.784,0
2.667,-8.314,0
1.882,-7.529,0.157
1.569,-7.216,0.314
0.784,-6.745,0.157
0.784,-6.431,0.471
1.255,-6.745,0.157
0.471,-6.588,0.784
0.314,-6.431,0.627
1.569,-6.902,0.941
1.725,-7.373,0.784
2.196,-7.843,1.098
2.353,-8,1.255
2.824,-8.314,1.255
2.98,-8.941,0.784
3.608,-9.255,0.784
3.451,-9.569,0.784
3.608,-9.569,0.784
4.235,-9.725,0.627
4.549,-10.667,1.255
4.863,-10.51,0.471
4.863,-10.98,0.784
5.02,-10.98,0.941
5.333,-11.294,0.784
5.333,-11.451,0.784
5.49,-11.608,0.941
5.333,-11.765,1.098
5.333,-11.922,0.941
5.176,-12.235,0.941
5.333,-12.392,1.098
5.49,-12.549,0.941
5.49,-12.706,0.941
5.647,-13.176,1.569
5.961,-13.02,1.725
5.804,-12.549,1.725
5.49,-11.765,1.255
5.176,-11.451,1.412
5.02,-10.353,0.627
5.02,-10.353,0.784
5.49,-12.863,0.784
6.275,-16.314,0.784
5.804,-17.255,1.098
5.333,-17.882,1.725
5.176,-17.412,2.039
5.02,-15.216,1.882
4.863,-14.275,1.725
4.706,-12.078,0.941
4.863,-10.824,0.627
5.176,-10.51,0.471
5.49,-10.98,0.157
5.49,-11.608,0.157
5.49,-13.02,0.471
5.647,-13.49,0.314
5.333,-14.431,0.627
4.863,-14.902,0.471
4.706,-14.902,0.157
4.863,-15.373,-0.157
4.549,-15.216,-0.157
4.392,-15.373,-0.314
